Site Name,Alias,Current Street Address [Historic in ( ) ],City,County,Investigated,,,,,
Bonne Terre FMGP,St. Joseph Lead Co.,Benham St. & RR tracks,Bonne Terre,St. Francois,Y,,,,,
Boonville FMGP,"Site cleaned up in VCP program as Union Electric Service Buildling - Boonville; AKA Sumbart FMGP/ Union Electric Service Building - Booneville, Davis Gaming-Boonville",301 2nd St. (intersects Morgan St.),Boonville,Cooper,Y,,,,,
Brookfield FMGP,"Brookfield Gas, Electric & Heating Co.",N. Monroe & Boston St.,Brookfield,Linn,Y,,,,,
Cape Girardeau FMGP,EPA called this site: Missouri Utilities FMGP.,500 N. Main,Cape Giradeau,Cape Girardeau,Y,,,,,
Carondelet Coke Corp. ,"St. Louis FMGP #1, St. Louis FMGP #7, Carondelet FMGP, Carondelet Coke Demolition, Army Balloon School, Carondelet Furnace, Vulcan Iron, Carondelet Gas Light Co.",526 E Catalan/8600 S Broadway,St. Louis,St. Louis City,Y,,,,,
Carthage FMGP #1,"Carthage Gas and Light, Carthage Light and Fuel",SE Corner Main & Limestone near 411 N. Main,Carthage,Jasper,Y,,,,,
Carthage FMGP #2,"Acme, Quapaw Gas,Southwestern Light and Fuel",SW corner Claxton & N. Main (SW Corner of Garrison St. and Limestone St.),Carthage,Jasper,Y,,,,,
Chillicothe FMGP,Ñ,Bridge St. & Calhoun St.,Chillicothe,Livingston,Y,,,,,
Clinton FMGP,"Clinton Light & Water Co., Clinton Gas, Coal & Coke Co., Missouri Public Service",6th St. & Elm,Clinton,Henry,Y,,,,,
Columbia Coal Gas,Ñ,Orr & Ash St.,Columbia,Boone,Y,,,,,
Elmer FMGP,Elmer Patterson,unknown,Elmer,Macon,N,,,,,
Excelsior Springs FMGP,"Excelsior Springs Light, Power, Heating & Water Co., Ruey-Ann Apartments",320 W. Excelsior ,Excelsior Springs,Clay,Y,,,,,
Fulton FMGP,Missouri School for the Deaf,505 E. 5th St.,Fulton,Callaway,Y,,,,,
Glendale Zinc Works,St. Louis FMGP #12,Blow & Water Streets,St. Louis,St. Louis City,Y,,,,,
Hannibal FMGP # 1,Hannibal Gas Co.,US Hwy 36 & 3rd St.,Hannibal ,Marion,Y,,,,,
Hannibal FMGP # 2,"United Cities Gas Company, Great River Gas, Citizen's Gas Co.",corner of S. 11th St. & Collier,Hannibal ,Marion,Y,,,,,
Huntsville FMGP,"Huntsville Gas Works, Huntsville Light & Power Co.",S. Depot St.,Huntsville,Randolph,Y,,,,,
Independence FMGP #1,"Jackson County Light, Heat & Power Co. Gas Works, Coal Gas Works",W. Pacific Ave. & S. River Blvd.,Independence,Jackson,Y,,,,,
Independence FMGP #2,Missouri Gas Energy,1117 S. Pleasant Ave.,Independence,Jackson,Y,,,,,
Jefferson City FMGP,"Jefferson City Light, Heat & Power Co.",400 W Main St.,Jefferson City,Cole,Y,,,,,
Joplin FMGP # 1,Ñ,516 E. 5th St.,Joplin,Jasper,Y,,,,,
Joplin FMGP # 2,Ñ,2nd St. & Kentucky Ave.,Joplin,Jasper,Y,,,,,
Kansas City FMGP # 1,"KC Coal Gas: Stn A, KC Coal Gas Co., KC Gas Light and Electric Co.",E. 1st St. & Campbell,Kansas City,Jackson,Y,,,,,
Kirksville FMGP,"Heetco Inc., Kirksville Light, Heat & Power Comp., Kirksville College of Osteopathic Medicine, KCOM",550 W. Jefferson ,Kirksville,Adair,Y,,,,,
,,,,,Y,,,,,
Lexington FMGP # 1,Being addressed by EPA as MO Gas & Electric Co - Lexington FMGP; AKA: Missouri Gas & Electric Service,Farrar & SW,Lexington,Lafayette,Y,,,,,
Lexington FMGP # 2,Ñ,10th & Highland,Lexington,Lafayette,Y,,,,,
Louisiana FMGP # 1,"Carbon Light Co., Louisiana Light, Power, & Traction Co.",5th & Delaware,Louisiana,Pike,Y,,,,,
Louisiana FMGP # 2,In SMARS as Hercules Inc.; AKA US Bureau of Mines-Coal Gasification Test Facility,Hwy 79 & Co. Rd. D,Louisiana,Pike,Y,,,,,
Macon FMGP,Macon Gas & Electric Co.,216 Vine St.,Macon,Macon,Y,,,,,
Marshall FMGP # 1,"EPA is conducting Removal Assessment under the site name: MO Gas and Electric Co - Marshall FMGP.  AKA Marshall Gas Works, MO Gas & Electric Co ",400 N. Lafayette,Marshall,Saline,Y,,,,,
Marshall FMGP # 2,Ñ,English & Eastwood Avenues,Marshall,Saline,Y,,,,,
Mexico FMGP,"Mexico Electric Light, Heating & Power Co, Mexico Power Co., ",Southwestern St. & High St.,Mexico,Audrain,Y,,,,,
Moberly FMGP,"Moberly Gas Light Co., Moberly Gas & Electric Co., Moberly Light & Power",501 Franklin St.,Moberly,Randolph,Y,,,,,
Nevada FMGP,Nevada Gas & Electric Light,E Walnut & E Austin St,Neveda,Vernon,Y,,,,,
Oak Grove FMGP,Richard A. Park FMGP,unknown,Oak Grove,Jackson,N,,,,,
Park Hills FMGP,"Ameren UE Rivermines District Office & Works Headquarters, Doe Run Lead Co. Shaft No.2",10 Church St,Park Hills,St. Francois,Y,,,,,
Rich Hill FMGP,"City of Rich Hill-Electric, Gas & Water",700 E. Pine,Rich Hill,Bates,Y,,,,,
Sedalia FMGP # 1,City Light & Traction Co.,N. Moniteau Ave. & Benton St.,Sedalia,Pettis,Y,,,,,
Sedalia FMGP # 2,Sedalia Coal Gas,Broadway St. & Moniteau,Sedalia,Pettis,Y,,,,,
Shrewsbury FMGP,"Webster Groves FMGP, St. Louis FMGP #4, St. Louis Co. Gas, Webster Groves Coal Gas Site, St. Louis Gas Light Co.",4118 Shrewsbury Ave. at I-44,Shrewsbury,St. Louis county,Y,,,,,
Springfield FMGP ,Springfield Gas & Electric Co.,N. Main & W. Phelps (3 subsites),Springfield,Greene,Y,,,,,
St. Charles FMGP #1,"St. Charles Lighting Co., St. Charles Gas Works, St. Charles Light & Coal Co., St. Charles Gas Co.",Washington & N. Riverside,,St. Charles,Y,,,,,
St. Joseph FMGP # 1,"St. Joseph Light & Power, Gas Service Co., St. Joseph Coal Gas, St. Joseph Gas & Manufacturing Co.",S 4th & Cedar,St. Joseph,Buchanan,Y,,,,,
St. Joseph FMGP # 2,"Citizen's Gas Light Co., American Light & Traction Co., Cities Service Co.",5th & Angelique or 5th & Olive (510-514 S. 5th St.),St. Joseph,Buchanan,Y,,,,,
St. Joseph FMGP # 3,St. Joseph FMGP #4,802 S 5th St. (S 6th & Lafayette),St. Joseph,Buchanan,Y,,,,,
St. Joseph FMGP # 4,St. Joseph FMGP #3,802 S 5th St. (S 6th & Lafayette),St. Joseph,Buchanan,Y,,,,,
St. Joseph FMGP # 5,St. Joseph Gas & Fuel Co.,unknown,St. Joseph,Buchanan,Y,,,,,
St. Louis FMGP # 16,Carondelet Gas Light Co.; Laclede Gas Station H; St. Louis FMGP # 21,"4100 S. Broadway; City Block 2618; (E side of Broadway; S. of Gasconade, W of Missouri); Main & Lorentz",St. Louis,St. Louis city,Y,,,,,
St. Louis FMGP # 18,Mound City Gas Co.; Wharf St. Property,"NW corner Park Ave. and Wharf St. [NW corner Park and Levee];  Tnp. 45N, Rng 7E, Sec. 23, Cahokia topographic quad. ",St. Louis,St. Louis City,N,,,,,
Laclede Coal Gas,"St. Louis FMGP # 19; Union Electric - Mound St.; Mound Street FMGP, St. Louis FMGP #3, Mound Street PCBs, Laclede Gas Station B; Laclede Gas Light Co. flagship MGP; Station B  ",Mullanphy & N 1st Streets,St. Louis,St. Louis city,Y,,,,,
St. Louis FMGP # 20,St. Louis Illuminating Gas Co. ,600 N. 6th St.;  AKA N. 1st St. at Lewis St. CANNOT BE BOTH; 600 N 6TH IS 6TH AND WASHINGTON NEAR CONV. CTR.  ALSO 1ST DOES NOT INTERSECT LEWIS.,St. Louis,St. Louis City,N,,,,,
St. Louis FMGP # 21,"Carondelet Gas Light Co.1st plant, Laclede Gas Co. Station ""H""",Piedmont & Gasconade   AKA Broadway & Gasconade,St. Louis,St. Louis City,Y,,,,,
St. Louis FMGP # 8,"The Water Gas Company; Union Station FMGP; St. Louis Fuel, Heat & Power Co.; UGI","18th & Clark Sts. this location plots below the U.S. Post Office, immediately E. of Union Stn; Tentative Alternative Location: S side Walnut St, between 20th & 21st Streets, Block 1696W; immediately adjacent to the W side of Union Stn.",St. Louis,St. Louis City,Y,,,,,
St. Louis FMGP # 9,Laclede Gas Station N,Cheverolet Ave. AKA off Natural Bridge Rd. @ Cadillac St.,St. Louis,St. Louis City,N,,,,,
St. Louis FMGP #1,St. Louis Gas Light Co.,Near Foot of Market @ 2nd St.,St. Louis,St. Louis City,,,,,,
St. Louis FMGP #11,Orion Gas Light Co.,17 N. 6th St.,St. Louis,St. Louis city,N,,,,,
St. Louis FMGP #13,"St. Louis Gas, Fuel, & Power",Washington St. & Franklin St.,St. Louis,St. Louis City,N,,,,,
